,Title,Published_date,Views,Likes,Comments,Month
142,Why I'm Starting Data Science Over Again.,2020-08-29,50720,2604,450,Aug
143,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15053,626,76,Aug
144,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12753,456,55,Aug
145,Don't Buy My Course..,2020-08-21,7331,358,146,Aug
146,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29073,1114,166,Aug
147,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3231,128,40,Aug
148,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6309,537,108,Aug
149,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4961,183,39,Aug
150,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11946,378,53,Aug
151,The Plagiarism Problem in Data Science,2020-08-07,13043,629,145,Aug
152,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14382,601,89,Aug
153,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4895,188,56,Aug
154,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11364,580,90,Jul
155,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2314,116,34,Jul
156,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5583,251,112,Jul
157,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8204,246,199,Jul
158,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1852,98,27,Jul
159,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28937,564,90,Jul
160,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,322158,7194,423,Jul
161,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30231,1126,121,Jul
162,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3618,135,50,Jul
163,The Best Computer for Data Science Beginners,2020-07-10,37653,847,157,Jul
